id,createdAt,title,userId,type,id,read,message
"demo-notif-009","2025-07-22T22:27:43.182Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-009","true","Your appointment has been confirmed for 9/10/2025."
"demo-notif-010","2025-06-17T10:47:56.643Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-010","true","Your appointment has been confirmed for 7/30/2025."
"demo-notif-011","2025-06-09T22:30:09.123Z","Appointment Confirmed","demo-citizen-050","appointment_confirmation","demo-notif-011","false","Your appointment has been confirmed for 8/28/2025."
"demo-notif-012","2025-05-20T11:44:53.747Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-012","true","Reminder: Your appointment is scheduled for tomorrow at 15:30."
"demo-notif-013","2025-08-12T23:00:49.259Z","Document Review","demo-citizen-001","document_review","demo-notif-013","true","Please review and update your submitted documents."
"demo-notif-014","2025-06-28T00:37:10.503Z","Status Update","demo-citizen-001","status_update","demo-notif-014","true","Your appointment status has been updated to no-show."
"demo-notif-015","2025-07-28T18:39:23.064Z","Document Review","demo-citizen-001","document_review","demo-notif-015","true","Please review and update your submitted documents."
"demo-notif-016","2025-08-12T05:37:01.006Z","Document Review","demo-citizen-001","document_review","demo-notif-016","true","Please review and update your submitted documents."
"demo-notif-017","2025-06-20T06:35:39.539Z","Document Review","demo-citizen-001","document_review","demo-notif-017","true","Please review and update your submitted documents."
"demo-notif-018","2025-07-29T21:55:33.731Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-018","true","Reminder: Your appointment is scheduled for tomorrow at 10:00."
"demo-notif-019","2025-06-02T15:55:39.621Z","Document Review","demo-citizen-001","document_review","demo-notif-019","false","Please review and update your submitted documents."
"demo-notif-020","2025-06-21T05:05:07.936Z","Appointment Confirmed","demo-citizen-029","appointment_confirmation","demo-notif-020","false","Your appointment has been confirmed for 8/21/2025."
"demo-notif-021","2025-08-02T19:34:36.868Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-021","false","Reminder: Your appointment is scheduled for tomorrow at 15:00."
"demo-notif-022","2025-07-04T17:45:59.805Z","Status Update","demo-citizen-015","status_update","demo-notif-022","true","Your appointment status has been updated to completed."
"demo-notif-023","2025-05-20T01:26:16.281Z","Status Update","demo-citizen-001","status_update","demo-notif-023","true","Your appointment status has been updated to cancelled."
"demo-notif-024","2025-07-20T03:39:49.066Z","Document Review","demo-citizen-001","document_review","demo-notif-024","true","Please review and update your submitted documents."
"demo-notif-025","2025-06-05T11:15:45.696Z","Appointment Reminder","demo-citizen-037","reminder","demo-notif-025","false","Reminder: Your appointment is scheduled for tomorrow at 10:30."
"demo-notif-026","2025-08-06T12:10:42.983Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-026","false","Your appointment has been confirmed for 8/13/2025."
"demo-notif-027","2025-07-06T22:32:20.143Z","Document Review","demo-citizen-046","document_review","demo-notif-027","true","Please review and update your submitted documents."
"demo-notif-028","2025-08-07T07:44:03.236Z","Appointment Reminder","demo-citizen-023","reminder","demo-notif-028","true","Reminder: Your appointment is scheduled for tomorrow at 11:00."
"demo-notif-029","2025-07-31T23:40:06.211Z","Status Update","demo-citizen-001","status_update","demo-notif-029","false","Your appointment status has been updated to cancelled."
"demo-notif-030","2025-06-29T19:03:45.141Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-030","true","Reminder: Your appointment is scheduled for tomorrow at 09:00."
"demo-notif-031","2025-08-13T04:49:37.625Z","Document Review","demo-citizen-001","document_review","demo-notif-031","false","Please review and update your submitted documents."
"demo-notif-032","2025-06-29T23:42:09.737Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-032","false","Your appointment has been confirmed for 7/26/2025."
"demo-notif-033","2025-08-06T21:13:05.903Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-033","true","Reminder: Your appointment is scheduled for tomorrow at 10:30."
"demo-notif-034","2025-06-05T22:46:35.365Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-034","true","Your appointment has been confirmed for 8/2/2025."
"demo-notif-035","2025-07-07T19:21:16.090Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-035","true","Reminder: Your appointment is scheduled for tomorrow at 14:30."
"demo-notif-036","2025-06-17T13:38:41.175Z","Status Update","demo-citizen-001","status_update","demo-notif-036","false","Your appointment status has been updated to confirmed."
"demo-notif-037","2025-08-14T17:25:10.556Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-037","true","Your appointment has been confirmed for 7/14/2025."
"demo-notif-038","2025-06-02T13:03:48.350Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-038","false","Reminder: Your appointment is scheduled for tomorrow at 11:30."
"demo-notif-039","2025-07-24T18:24:53.151Z","Document Review","demo-citizen-001","document_review","demo-notif-039","true","Please review and update your submitted documents."
"demo-notif-040","2025-08-03T12:27:35.097Z","Document Review","demo-citizen-001","document_review","demo-notif-040","false","Please review and update your submitted documents."
"demo-notif-041","2025-07-22T14:05:52.523Z","Document Review","demo-citizen-001","document_review","demo-notif-041","true","Please review and update your submitted documents."
"demo-notif-042","2025-07-20T17:10:27.520Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-042","true","Your appointment has been confirmed for 7/29/2025."
"demo-notif-043","2025-07-24T23:38:15.484Z","Status Update","demo-citizen-035","status_update","demo-notif-043","false","Your appointment status has been updated to cancelled."
"demo-notif-044","2025-06-23T13:16:23.956Z","Appointment Reminder","demo-citizen-048","reminder","demo-notif-044","true","Reminder: Your appointment is scheduled for tomorrow at 14:00."
"demo-notif-045","2025-05-21T22:59:45.207Z","Status Update","demo-citizen-001","status_update","demo-notif-045","true","Your appointment status has been updated to pending."
"demo-notif-046","2025-05-25T12:12:40.931Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-046","false","Reminder: Your appointment is scheduled for tomorrow at 10:00."
"demo-notif-047","2025-07-19T19:34:27.919Z","Status Update","demo-citizen-001","status_update","demo-notif-047","false","Your appointment status has been updated to completed."
"demo-notif-048","2025-06-21T17:28:08.014Z","Status Update","demo-citizen-001","status_update","demo-notif-048","true","Your appointment status has been updated to confirmed."
"demo-notif-049","2025-05-29T22:41:39.334Z","Document Review","demo-citizen-001","document_review","demo-notif-049","true","Please review and update your submitted documents."
"demo-notif-050","2025-08-09T08:52:59.318Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-050","true","Reminder: Your appointment is scheduled for tomorrow at 13:30."
"demo-notif-051","2025-06-02T13:24:33.892Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-051","true","Reminder: Your appointment is scheduled for tomorrow at 11:00."
"demo-notif-052","2025-05-21T22:52:49.857Z","Document Review","demo-citizen-001","document_review","demo-notif-052","true","Please review and update your submitted documents."
"demo-notif-053","2025-06-04T02:43:31.139Z","Appointment Reminder","demo-citizen-001","reminder","demo-notif-053","true","Reminder: Your appointment is scheduled for tomorrow at 14:00."
"demo-notif-054","2025-05-26T10:39:55.829Z","Status Update","demo-citizen-001","status_update","demo-notif-054","true","Your appointment status has been updated to pending."
"demo-notif-055","2025-06-13T13:36:51.992Z","Document Review","demo-citizen-001","document_review","demo-notif-055","true","Please review and update your submitted documents."
"demo-notif-056","2025-05-26T03:34:24.457Z","Document Review","demo-citizen-014","document_review","demo-notif-056","false","Please review and update your submitted documents."
